ID,Tên,Lat,Lon,Province,Geocode_Source,Cần_Manual,Ghi_chú
,報Quốc,,,,,Y,
,順化Thành,,,,,Y,
,Linh Sơn,,,,,Y,
,竹Lâm,,,,,Y,
,廣義Thành,,,,,Y,
,Châu,,,,,Y,
,順化Thành,,,,,Y,
,Giang北,,,,,Y,
,Trung Quốc,,,,,Y,
,Việt Nam,,,,,Y,
,Phổ Đà Sơn,,,,,Y,
,龍Sơn,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Nhật Bản,,,,,Y,
,Châu,,,,,Y,
,Ấn Độ,,,,,Y,
,Kim Sơn Tự,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Trường An,,,,,Y,
,Trường An,,,,,Y,
,SơnHà,,,,,Y,
,Cửu Hoa Sơn,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Cửu Hoa Sơn,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,太平,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Thiếu Lâm Tự,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Thiên Đài Sơn,,,,,Y,
,白ThápSơn,,,,,Y,
,Châu,,,,,Y,
,德Châu,,,,,Y,
,北京Thành,,,,,Y,
,巴黎,,,,,Y,
,羯朱嗢祇羅Quốc,,,,,Y,
,保安,,,,,Y,
,順化Thành,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,保福Tự,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Trường An,,,,,Y,
,羅浮Quan,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,菩提Viện,,,,,Y,
,羅浮Quan,,,,,Y,
,Châu,,,,,Y,
,靈應Tự,,,,,Y,
,太和,,,,,Y,
,Châu,,,,,Y,
,Linh Ẩn Tự,,,,,Y,
,Châu,,,,,Y,
,大安,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,安平,,,,,Y,
,費城,,,,,Y,
,Châu,,,,,Y,
,羅爛城,,,,,Y,
,珂咄羅Quốc,,,,,Y,
,Châu,,,,,Y,
,Việt Nam,,,,,Y,
,Châu,,,,,Y,
,順化Thành,,,,,Y,
,安樂,,,,,Y,
,加Châu,,,,,Y,
,巴黎,,,,,Y,
,巴黎,,,,,Y,
,路德維希-馬克西米利安-慕Ni黑大學,,,,,Y,
,Thái Lan,,,,,Y,
,Châu,,,,,Y,
,Lạc Dương,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,和平,,,,,Y,
,Châu,,,,,Y,
,德安Phủ,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,上Hải虹橋機場,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,普照,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,圓通Tự,,,,,Y,
,福建Tỉnh,,,,,Y,
,比叡Sơn,,,,,Y,
,清涼Tự,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,龍SơnTự,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,臺中Huyện,,,,,Y,
,Châu,,,,,Y,
,興隆Tự,,,,,Y,
,新平Huyện,,,,,Y,
,興隆Đường,,,,,Y,
,興隆Tự,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Phật焚身地,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,巴黎,,,,,Y,
,QuanHảiTự ,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Châu,,,,,Y,
,Trung Quốc,,,,,Y,
,Thượng Hải,,,,,Y,
,Châu,,,,,Y,
,白ThápSơn,,,,,Y,
,洪福Tự,,,,,Y,
,Châu,,,,,Y,
,廣濟Tự,,,,,Y,
,臺中Huyện,,,,,Y,
,迦蘭陀竹ViênTinh Xá,,,,,Y,
,Châu,,,,,Y,
