Name,Lat,Lon,Province,Source
百越,10.3223309,107.0845799,,nominatim
秦,10.0362046,105.7872656,,nominatim
東吳,21.0290804,105.8362839,,nominatim
坑鳴,10.7105318,106.7373639,,nominatim
交阯,10.9328536,107.1339599,Tỉnh Đồng Nai,nominatim
Việt Nam,15.9266657,107.9650855,,nominatim
仙ChâuSơn,,,越南,failed
仙洲Sơn,,,越南,failed
老街,22.4922679,103.9783871,Tỉnh Lào Cai,nominatim
總化,10.783077,106.7002592,,nominatim
Lâm西,10.7521424,106.6322808,,nominatim
古勇,,,越南-東北部Northeastern(DongBac)(NorthEast)-老街省(LaoCai)-BatXat,failed
龍膊,21.0430731,105.8580295,,nominatim
孟糠,22.685684,104.103016,Tỉnh Lào Cai,nominatim
南丁,20.4229775,106.1725798,Tỉnh Ninh Bình,nominatim
廣源,10.7904507,106.6837116,,nominatim
高平,22.7426936,106.1060926,Tỉnh Cao Bằng,nominatim
思琅,21.0367831,105.8346888,,nominatim
廣源,10.7904507,106.6837116,,nominatim
甘棠,22.40528,104.0240916,Tỉnh Lào Cai,nominatim
多利,18.326067,-66.4098864,Puerto Rico,nominatim
西道,-8.5202824,115.263159,Bali,nominatim
忠誠,10.6954633,107.2802067,,nominatim
奇富,10.7798073,106.7050147,,nominatim
西道,-8.5202824,115.263159,Bali,nominatim
都金,,,越南-東北部Northeastern(DongBac)(NorthEast)-宣光省(TuyenQuang)-HamYen,failed
吳定,22.5430629,103.2961323,Tỉnh Lai Châu,nominatim
武定,22.5430629,103.2961323,Tỉnh Lai Châu,nominatim
吳定,22.5430629,103.2961323,Tỉnh Lai Châu,nominatim
南平,10.4175049,107.1582416,,nominatim
門,50.0992861,8.6732802,Hessen,nominatim
門,50.0992861,8.6732802,Hessen,nominatim
永平寨,,,越南-東北部Northeastern(DongBac)(NorthEast)-諒山省(LangSon)-LocBinh,failed
祿,51.5293745,81.2181501,Алтайский край,nominatim
祿,51.5293745,81.2181501,Алтайский край,nominatim
永平寨,,,越南-東北部Northeastern(DongBac)(NorthEast)-諒山省(LangSon)-LocBinh,failed
祿,51.5293745,81.2181501,Алтайский край,nominatim
永平寨,,,越南-東北部Northeastern(DongBac)(NorthEast)-諒山省(LangSon)-LocBinh,failed
湯,47.5997617,-122.316743,Washington,nominatim
湯泉,21.0116264,105.7548056,,nominatim
祿,51.5293745,81.2181501,Алтайский край,nominatim
西平,21.1073179,106.5836965,Tỉnh Quảng Ninh,nominatim
西平,21.1073179,106.5836965,Tỉnh Quảng Ninh,nominatim
西平,21.1073179,106.5836965,Tỉnh Quảng Ninh,nominatim
諒,21.0347561,105.8515999,,nominatim
平西,21.1073179,106.5836965,Tỉnh Quảng Ninh,nominatim
七源,,,越南-東北部Northeastern(DongBac)(NorthEast)-諒山省(LangSon)-TrangDinh,failed
Hải平,10.5425849,107.5408211,,nominatim
蘇茂,21.148956,106.1384696,Tỉnh Bắc Ninh,nominatim
安Hải,15.2159382,108.9284472,Tỉnh Quảng Ngãi,nominatim
Hải安,20.8247021,106.7215727,,nominatim
新安,10.5372944,106.4085655,Tỉnh Tây Ninh,nominatim
Hải平,10.5425849,107.5408211,,nominatim
望Hải,,,越南-東北部Northeastern(DongBac)(NorthEast)-北江省(BacGiang)-HiepHoa,failed
望Hải,,,越南-東北部Northeastern(DongBac)(NorthEast)-北江省(BacGiang)-HiepHoa,failed
淥水,21.0288313,105.8525357,,nominatim
南田,34.615859,135.605541,,nominatim
登,21.9430048,106.6976298,Tỉnh Lạng Sơn,nominatim
嘉寧,21.0535217,106.1724431,Tỉnh Bắc Ninh,nominatim
嘉寧,21.0535217,106.1724431,Tỉnh Bắc Ninh,nominatim
福祿,10.456346,107.268654,,nominatim
安遠,21.0849376,105.9159171,,nominatim
安人,13.8572108,109.0667821,Tỉnh Gia Lai,nominatim
臨西,6.9160186,79.8680139,Western Province,nominatim
臨西,6.9160186,79.8680139,Western Province,nominatim
武峨,10.7793648,106.6922806,,nominatim
武峨,10.7793648,106.6922806,,nominatim
太平,20.4031348,106.5941615,Tỉnh Hưng Yên,nominatim
唐Lâm,,,越南-紅河三角洲(ĐồngbằngSôngHồng)(RedRiverDelta)-河西省(HaTay)-PhucTho,failed
隆平,10.4828325,107.2101688,,nominatim
麊泠,21.1807083,105.7094579,,nominatim
苟屚,,,越南-紅河三角洲(ĐồngbằngSôngHồng)(RedRiverDelta)-河西省(HaTay)-ThachThat,failed
苟漏,,,越南-紅河三角洲(ĐồngbằngSôngHồng)(RedRiverDelta)-河西省(HaTay)-ThachThat,failed
無功,10.7793648,106.6922806,,nominatim
無功,10.7793648,106.6922806,,nominatim
仙Sơn,,,越南-紅河三角洲(ĐồngbằngSôngHồng)(RedRiverDelta)-北寧省(BacNinh),failed
交Châu刺史部,,,越南-紅河三角洲(ĐồngbằngSôngHồng)(RedRiverDelta)-北寧省(BacNinh)-BacNinh,failed
龍編,21.0430731,105.8580295,,nominatim
交,21.0221271,105.8424815,,nominatim
交趾郡,22.5391799,103.9338687,云南省,nominatim
交趾郡,22.5391799,103.9338687,云南省,nominatim
龍編,21.0430731,105.8580295,,nominatim
龍編,21.0430731,105.8580295,,nominatim
交趾郡,22.5391799,103.9338687,云南省,nominatim
交,21.0221271,105.8424815,,nominatim
交趾郡,22.5391799,103.9338687,云南省,nominatim
龍編,21.0430731,105.8580295,,nominatim
交,21.0221271,105.8424815,,nominatim
交趾郡,22.5391799,103.9338687,云南省,nominatim
龍編,21.0430731,105.8580295,,nominatim
龍編,21.0430731,105.8580295,,nominatim
龍編,21.0430731,105.8580295,,nominatim
龍編,21.0430731,105.8580295,,nominatim
南定,20.4229775,106.1725798,Tỉnh Ninh Bình,nominatim
曲昜,20.1509987,107.7274944,,nominatim
曲陽,20.1509987,107.7274944,,nominatim
曲陽,20.1509987,107.7274944,,nominatim
曲昜,20.1509987,107.7274944,,nominatim
曲易,48.876047,2.3156116,Île-de-France,nominatim
郡,11.9003775,109.1807268,Tỉnh Khánh Hòa,nominatim
