raw_name,matched_name,matched_id,confidence,gps_found,lat,lon,frequency,source
Báo Quốc,報Quốc,PL000000026436,1.0,False,,,77,DILA
Huế,順化Thành,PL000000060486,0.7,False,,,35,DILA
Linh Sơn,Linh Sơn,PL000000032725,1.0,False,,,35,DILA
Trúc Lâm,竹Lâm,PL000000034071,1.0,False,,,26,DILA
Quảng Ngãi,廣義Thành,PL000000059334,1.0,False,,,18,DILA
Châu Lâm,Châu,PL000000027906,0.7,False,,,16,DILA
thành phố,順化Thành,PL000000060486,0.7,False,,,14,DILA
gia,Giang北,PL000000000093,0.7,False,,,13,DILA
Trung Quốc,Trung Quốc,PL000000000089,1.0,False,,,13,DILA
Việt Nam,Việt Nam,PL000000055094,1.0,False,,,12,DILA
Phổ Đà,Phổ Đà Sơn,PL000000013847,0.7,False,,,12,DILA
Long Sơn,龍Sơn,PL000000038492,1.0,False,,,11,DILA
ĐÀM CHÂU,Châu,PL000000027906,0.7,False,,,10,DILA
Minh Châu,Châu,PL000000027906,0.7,False,,,8,DILA
Hàng Châu,Châu,PL000000027906,0.7,False,,,7,DILA
Phước Châu,Châu,PL000000027906,0.7,False,,,6,DILA
Nhật Bản,Nhật Bản,PL000000048414,1.0,False,,,6,DILA
Tương Châu,Châu,PL000000027906,0.7,False,,,6,DILA
Ấn Độ,Ấn Độ,PL000000060139,1.0,False,,,5,DILA
Kim Sơn,Kim Sơn Tự,PL000000059692,0.7,False,,,5,DILA
Việt Châu,Châu,PL000000027906,0.7,False,,,5,DILA
Tùy Châu,Châu,PL000000027906,0.7,False,,,5,DILA
Đài Châu,Châu,PL000000027906,0.7,False,,,5,DILA
chùa Châu,Châu,PL000000027906,0.7,False,,,4,DILA
Chân Châu,Châu,PL000000027906,0.7,False,,,4,DILA
Trường An,Trường An,PL000000042545,1.0,False,,,4,DILA
trường An,Trường An,PL000000042545,1.0,False,,,3,DILA
nhà,SơnHà,PL000000007604,0.7,False,,,3,DILA
hoa,Cửu Hoa Sơn,PL000000016725,0.7,False,,,3,DILA
Thiều Châu,Châu,PL000000027906,0.7,False,,,3,DILA
Hồng Châu,Châu,PL000000027906,0.7,False,,,3,DILA
Hoa Sơn,Cửu Hoa Sơn,PL000000016725,0.7,False,,,3,DILA
Châu Long,Châu,PL000000027906,0.7,False,,,3,DILA
châu Hà,Châu,PL000000027906,0.7,False,,,3,DILA
Thái Bình,太平,PL000000060154,1.0,False,,,3,DILA
CÁT CHÂU,Châu,PL000000027906,0.7,False,,,3,DILA
Dĩnh Châu,Châu,PL000000027906,0.7,False,,,3,DILA
Thiếu Lâm,Thiếu Lâm Tự,PL000000023255,0.7,False,,,2,DILA
Thụy Châu,Châu,PL000000027906,0.7,False,,,2,DILA
Thái Châu,Châu,PL000000027906,0.7,False,,,2,DILA
Đặng Châu,Châu,PL000000027906,0.7,False,,,2,DILA
Nhữ Châu,Châu,PL000000027906,0.7,False,,,2,DILA
thiên,Thiên Đài Sơn,PL000000038254,0.7,False,,,2,DILA
tháp,白ThápSơn,PL000000000280,0.7,False,,,2,DILA
Châu Phong,Châu,PL000000027906,0.7,False,,,2,DILA
bang Texas,德Châu,PL000000058807,0.7,False,,,2,DILA
thành,北京Thành,PL000000000233,0.7,False,,,2,DILA
Paris,巴黎,PL000000059433,1.0,False,,,2,DILA
ghi,羯朱嗢祇羅Quốc,PL000000048305,0.7,False,,,2,DILA
Bảo An,保安,PL000000043681,1.0,False,,,2,DILA
Thành phố,順化Thành,PL000000060486,0.7,False,,,2,DILA
Châu Chữ,Châu,PL000000027906,0.7,False,,,2,DILA
