STT,ID,Tên_Việt,Tên_Hán,Lat,Lon,Province,Source,Status,Mô_tả,Ghi_chú_Admin
1,,報Quốc,報Quốc,,,,CBETA,geocoded,,
2,,順化Thành,順化Thành,,,,CBETA,geocoded,,
3,,Linh Sơn,Linh Sơn,,,,CBETA,geocoded,,
4,,竹Lâm,竹Lâm,,,,CBETA,geocoded,,
5,,廣義Thành,廣義Thành,,,,CBETA,geocoded,,
6,,Châu,Châu,,,,CBETA,geocoded,,
7,,Giang北,Giang北,,,,CBETA,geocoded,,
8,,Trung Quốc,Trung Quốc,,,,CBETA,geocoded,,
9,,Việt Nam,Việt Nam,,,,CBETA,geocoded,,
10,,Phổ Đà Sơn,Phổ Đà Sơn,,,,CBETA,geocoded,,
11,,龍Sơn,龍Sơn,,,,CBETA,geocoded,,
12,,Nhật Bản,Nhật Bản,,,,CBETA,geocoded,,
13,,Ấn Độ,Ấn Độ,,,,CBETA,geocoded,,
14,,Kim Sơn Tự,Kim Sơn Tự,,,,CBETA,geocoded,,
15,,Trường An,Trường An,,,,CBETA,geocoded,,
16,,SơnHà,SơnHà,,,,CBETA,geocoded,,
17,,Cửu Hoa Sơn,Cửu Hoa Sơn,,,,CBETA,geocoded,,
18,,太平,太平,,,,CBETA,geocoded,,
19,,Thiếu Lâm Tự,Thiếu Lâm Tự,,,,CBETA,geocoded,,
20,,Thiên Đài Sơn,Thiên Đài Sơn,,,,CBETA,geocoded,,
21,,白ThápSơn,白ThápSơn,,,,CBETA,geocoded,,
22,,德Châu,德Châu,,,,CBETA,geocoded,,
23,,北京Thành,北京Thành,,,,CBETA,geocoded,,
24,,巴黎,巴黎,,,,CBETA,geocoded,,
25,,羯朱嗢祇羅Quốc,羯朱嗢祇羅Quốc,,,,CBETA,geocoded,,
26,,保安,保安,,,,CBETA,geocoded,,
27,,保福Tự,保福Tự,,,,CBETA,geocoded,,
28,,羅浮Quan,羅浮Quan,,,,CBETA,geocoded,,
29,,菩提Viện,菩提Viện,,,,CBETA,geocoded,,
30,,靈應Tự,靈應Tự,,,,CBETA,geocoded,,
31,,太和,太和,,,,CBETA,geocoded,,
32,,Linh Ẩn Tự,Linh Ẩn Tự,,,,CBETA,geocoded,,
33,,大安,大安,,,,CBETA,geocoded,,
34,,安平,安平,,,,CBETA,geocoded,,
35,,費城,費城,,,,CBETA,geocoded,,
36,,羅爛城,羅爛城,,,,CBETA,geocoded,,
37,,珂咄羅Quốc,珂咄羅Quốc,,,,CBETA,geocoded,,
38,,安樂,安樂,,,,CBETA,geocoded,,
39,,加Châu,加Châu,,,,CBETA,geocoded,,
