place_name_raw,mentioned_in_monk,source_monk_uri,frequency
giới đàn,Tâm Nhất Mật Thể,ex:monk/tam_nhat_mat_the,98
giới đàn,Tâm Như Mật Nguyện,ex:monk/tam_nhu_mat_nguyen,98
giới đàn,Trừng Diên Diệu Huệ,ex:monk/trung_dien_dieu_hue,98
giới đàn,Thanh Chân Viên Giác,ex:monk/thanh_chan_vien_giac,98
giới đàn,Thanh Tú Huệ Pháp,ex:monk/thanh_tu_hue_phap,98
giới đàn,Thanh Thái Huệ Minh,ex:monk/thanh_thai_hue_minh,98
giới đàn,Thanh Quý Chơn Thiệt,ex:monk/thanh_quy_chon_thiet,98
giới đàn,Đồng Thiện Thiện Ân,ex:monk/dd_dong_thien_thien_an,98
giới đàn,ĐĐ Đồng Thiện Thiện Ân,ex:monk/dd_dong_thien_thien_an,98
giới đàn,Thị Năng Trí Hữu,ex:monk/thi_nang_tri_huu,98
giới đàn,Chơn Ngọc Long Trí,ex:monk/chon_ngoc_long_tri,98
giới đàn,Chơn Chứng Thiện Quả,ex:monk/chon_chung_thien_qua,98
giới đàn,Như Quý Viên Thiện,ex:monk/nhu_quy_vien_thien,98
giới đàn,Như Quang Trí Minh,ex:monk/nhu_quang_tri_minh,98
giới đàn,Như Nhàn Trí Giác,ex:monk/nhu_nhan_tri_giac,98
giới đàn,Ấn Bính Phổ Bảo,ex:monk/an_binh_pho_bao,98
giới đàn,Ấn Bổn Vĩnh Gia,ex:monk/an_bon_vinh_gia,98
giới đàn,Ấn Kim Hoằng Tịnh,ex:monk/an_kim_hoang_tinh,98
giới đàn,Ấn Lãnh Hoằng Thạc,ex:monk/an_lanh_hoang_thac,98
giới đàn,Chơn Sử Khánh Tín,ex:monk/chon_su_khanh_tin,98
giới đàn,Chơn Trung Minh Ðức,ex:monk/chon_trung_minh_uc,98
giới đàn,Chơn Miên Trí Hưng,ex:monk/chon_mien_tri_hung,98
giới đàn,Chơn Tá Tôn Bảo,ex:monk/chon_ta_ton_bao,98
giới đàn,Chơn Cảnh Huệ Duyệt,ex:monk/chon_canh_hue_duyet,98
giới đàn,Chơn Phát Long Tôn,ex:monk/chon_phat_long_ton,98
giới đàn,Chơn Giác Long Hải,ex:monk/chon_giac_long_hai,98
giới đàn,Chơn Thành Khánh Ngọc,ex:monk/chon_thanh_khanh_ngoc,98
giới đàn,Chơn Pháp Phước Trí,ex:monk/chon_phap_phuoc_tri,98
giới đàn,Ấn Thiên Huệ Nhãn,ex:monk/an_thien_hue_nhan,98
giới đàn,Không Tâm Trí Quảng,ex:monk/khong_tam_tri_quang,98
giới đàn,Như Hương Huyền Tâm,ex:monk/nhu_huong_huyen_tam,98
giới đàn,Chơn Luận Phước Huệ,ex:monk/chon_luan_phuoc_hue,98
giới đàn,Như Vạn Trí Phước,ex:monk/nhu_van_tri_phuoc,98
giới đàn,Như Truyện Trí Nhãn,ex:monk/nhu_truyen_tri_nhan,98
giới đàn,Chơn Trừng Đạo Thanh,ex:monk/chon_trung_dao_thanh,98
giới đàn,Như Ðiền Huệ Chấn,ex:monk/nhu_dien_hue_chan,98
giới đàn,Như Ái Hoằng Thâm,ex:monk/nhu_ai_hoang_tham,98
giới đàn,Như Thừa Hoằng Nguyện,ex:monk/nhu_thua_hoang_nguyen,98
giới đàn,Như Quang Hoằng Phúc,ex:monk/nhu_quang_hoang_phuc,98
giới đàn,Không Tín Kế Châu,ex:monk/khong_tin_ke_chau,98
giới đàn,Như Tiến Quảng Hưng,ex:monk/nhu_tien_quang_hung,98
giới đàn,Như Niệm Bảo Toàn,ex:monk/nhu_niem_bao_toan,98
giới đàn,Tâm Thanh Chơn Nghiêm,ex:monk/tam_thanh_chon_nghiem,98
giới đàn,Chơn Phước Huệ Pháp,ex:monk/chon_phuoc_hue_phap,98
giới đàn,Chơn Quý Khánh Anh,ex:monk/chon_quy_khanh_anh,98
giới đàn,Như Quả Hoàn Tuyên,ex:monk/nhu_qua_hoan_tuyen,98
giới đàn,Như Bình Huyền Tịnh,ex:monk/nhu_binh_huyen_tinh,98
giới đàn,Như Hường Thọ Minh,ex:monk/nhu_huong_tho_minh,98
giới đàn,Trí Thuyên,ex:monk/tri_thuyen,98
giới đàn,Thị Bình Diệu Khai,ex:monk/thi_binh_dieu_khai,98
giới đàn,Ðồng Chơn Thông Niệm,ex:monk/ong_chon_thong_niem,98
giới đàn,Ðồng Kỉnh Tín Quả,ex:monk/ong_kinh_tin_qua,98
giới đàn,Như Đồng Đắc Quang,ex:monk/nhu_dong_dac_quang,98
giới đàn,Thanh Đức Tâm Khoan,ex:monk/thanh_duc_tam_khoan,98
giới đàn,Trừng Diên Hưng Phước,ex:monk/trung_dien_hung_phuoc,98
giới đàn,Nguyên Định Đức Trì,ex:monk/nguyen_dinh_duc_tri,98
giới đàn,Tâm Như Trí Thủ,ex:monk/tam_nhu_tri_thu,98
giới đàn,Nguyên Tánh Đức Tâm,ex:monk/nguyen_tanh_duc_tam,98
giới đàn,Nguyên Thuận Đức Tánh,ex:monk/nguyen_thuan_duc_tanh,98
giới đàn,TT Nguyên Minh Minh Đức,ex:monk/tt_nguyen_minh_minh_duc,98
giới đàn,Nguyên Ý Phước Châu,ex:monk/nguyen_y_phuoc_chau,98
giới đàn,Tâm Ấn Viên Quang,ex:monk/tam_an_vien_quang,98
giới đàn,Thiên Ân,ex:monk/thien_an,98
