"monk","label"
"ex:monk/hung_duong_thien",
"ex:monk/the_than_bo_tat",
"ex:monk/ha_son_nhien"," Hà Sơn Nhiên"
"ex:monk/giac_hai_phap_nhan","Am Chủ Giác Hải Pháp Nhân"
"ex:monk/am_chu_ho_khe","Am Chủ Hổ Khê"
"ex:monk/kiem_mon_an_phan","Am Chủ Kiếm Môn An Phần"
"ex:monk/nhi_linh_tri_hoa","Am Chủ Nhị Linh Tri Hòa"
"ex:monk/tri_chau_lo_to_giao","Am Chủ Phúc Bồn"
"ex:monk/quy_tong_chi_chi","Am Chủ Quy Tông Chí Chi"
"ex:monk/am_chu_sam_duong","Am Chủ Sam Dương"
"ex:monk/thach_dau_hoai_chi","Am Chủ Thạch Đầu Hoài Chí"
"ex:monk/dang_van_sieu_cap","Am Chủ Tích Thúy Vĩnh"
"ex:monk/tich_thuy_vinh","Am Chủ Tích Thúy Vĩnh"
"ex:monk/am_chu_tu_ngon","Am Chủ Tử Ngôn"
"ex:monk/vinh_phong_tue_nhat","Am Chủ Vĩnh Phong Tuệ Nhật"
"ex:monk/duc_son_tong_thap","Am Chủ Đỉnh Châu Đức Sơn Tông Thập"
"ex:monk/am_chu_dong_phong","Am Chủ Đồng Phong"
"ex:monk/an_hoa_van_nhat","An Hóa Văn Nhất"
"ex:monk/an_quoc_huyen_dinh","An Quốc Huyền Đĩnh"
"ex:monk/anh_cong_ha_tung","Anh Công Hạ Tủng"
"ex:monk/ba_tieu_coc_tuyen","Ba Tiêu Cốc Tuyền"
"ex:monk/ba_tieu_hue_thanh","Ba Tiêu Huệ Thanh"
"ex:monk/bao_than_huu_thuy","Bao Thân Hữu Thụy"
"ex:monk/bao_than_tong_du","Bao Thân Tông Dụ"
"ex:monk/bien_dam_hieu_lieu","Biển Đam Hiểu Liễu"
"ex:monk/ba_xa_tu_da","Bà Xá Tư Đa"
"ex:monk/ban_son_bao_tich","Bàn Sơn Bảo Tích"
"ex:monk/bach_linh","Bách Linh"
"ex:monk/bach_nham_minh_triet","Bách Nham Minh Triết"
"ex:monk/bach_nhan_minh_triet","Bách Nhan Minh Triết"
"ex:monk/bach_truong_duy_chanh","Bách Trượng Duy Chánh"
"ex:monk/bach_truong_duy_co","Bách Trượng Duy Cổ"
"ex:monk/bach_truong_di_the","Bách Trượng Dĩ Thê"
"ex:monk/bach_truong_hoai_hai","Bách Trượng Hoài Hải"
"ex:monk/bach_truong_nguyen_tuc","Bách Trượng Nguyên Túc"
"ex:monk/bach_tu_duc_tung","Bách Tử Ðức Tung"
"ex:monk/bach_truong_hoai_hai","Bách_Trượng_Hoài_Hải"
"ex:monk/bao_ban_tue_nguyen","Báo Bản Tuệ Nguyên"
"ex:monk/bao_tu_tan_anh","Báo Từ Tấn Anh"
"ex:monk/bao_an_phap_dien","Báo Ân Pháp Diễn"
"ex:monk/bao_an_thanh","Báo Ân Thành"
"ex:monk/bich_phong_tanh_kim","Bích Phong Tánh Kim"
"ex:monk/bach_van_khong_do","Bích Thiên Thanh Không"
"ex:monk/bich_thien_thanh_khong","Bích Thiên Thanh Không"
"ex:monk/bach_duong_phap_thuan","Bạch Dương Pháp Thuận"
"ex:monk/bach_ma_dam_chieu","Bạch Mã Đàm Chiếu"
"ex:monk/bach_tao_nghiem","Bạch Tảo Nghiễm"
"ex:monk/bach_van_khong_do","Bạch Vân Không Độ"
"ex:monk/bach_van_thu_doan","Bạch Vân Thủ Đoan"
"ex:monk/ban_giac_nha_chau","Bản Giác Nhã Châu"
"ex:monk/ban_tich_van_quan","Bản Tịch Văn Quan"
"ex:monk/bao_cai_tu_can","Bảo Cái Tử Cần"
"ex:monk/bao_hoa_hien","Bảo Hoa Hiển"
"ex:monk/bao_hoa_pho_giam","Bảo Hoa Phổ Giám"
"ex:monk/bao_ninh_nhan_dung","Bảo Ninh Nhân Dũng"
"ex:monk/nguyet_chuong_tri_uyen","Bảo Ninh Nhân Dũng"
"ex:monk/bao_ninh_vien_co","Bảo Ninh Viên Cơ"
"ex:monk/bao_phuoc_ban_quyen","Bảo Phước Bản Quyền"
"ex:monk/bao_phuoc_thu","Bảo Phước Thù"
"ex:monk/bao_tho","Bảo Thọ"
"ex:monk/bao_tho","Bảo Thọ (Đời thứ 2)"
"ex:monk/bao_tho_dien_chieu","Bảo Thọ Diên Chiểu"
"ex:monk/bao_tang_ban","Bảo Tạng Bản"
"ex:monk/bao_ung_phap_chieu","Bảo Ứng Pháp Chiêu"
"ex:monk/bac_giang_tay_lan_nhuong","Bắc Giang Tây Lan Nhượng"
"ex:monk/bac_son_tu_kinh","Bắc Sơn Tử Kinh"
"ex:monk/bo_tat_long_tho","Bồ Tát Long Thọ"
"ex:monk/bo_tat_ma_minh","Bồ Tát Mã Minh"
"ex:monk/bo_de_quang_dung","Bồ Đề Quang Dụng"
"ex:monk/lam_te_nghia_huyen","Bồ Đề Quang Dụng"
"ex:monk/bong_lai_khanh","Bồng Lai Khanh"
"ex:monk/bong_lai_vien","Bồng Lai Viên"
"ex:monk/bon_khe","Bổn Khê"
"ex:monk/bon_qua_khoang_vien","Bổn Quả Khoáng Viên"
"ex:monk/bon_tri_minh_giac","Bổn Trí Minh Giác"
"ex:monk/bon_dong","Bổn Đồng"
"ex:monk/cao_am_vien_thanh","Cao Am Viên Thanh"
"ex:monk/cao_an_dai_ngu","Cao An Đại Ngu"
"ex:monk/cao_phong_nguyen_dieu","Cao Phong Nguyên Diệu"
"ex:monk/chieu_giac_thieu_an","Chiêu Giác Thiệu Uyên"
"ex:monk/chieu_giac_thuan_bach","Chiêu Giác Thuần Bạch"
"ex:monk/chieu_giac_dao_nguyen","Chiêu Giác Ðạo Nguyên"
"ex:monk/chieu_giac_dao_to","Chiêu Giác Ðạo Tổ"
"ex:monk/chieu_hien_hoi_thong","Chiêu Hiền Hội Thông"
"ex:monk/chieu_giac_thuong_tong","Chiếu Giác Thường Tổng"
"ex:monk/chieu_hien_hoi_thong","Chiều Hiền Hội Thông"
"ex:monk/chieu_de_tue_lang","Chiều Đề Tuệ Lãng"
"ex:monk/chung_nam_phong_duc","Chung Nam Phong Đức"
"ex:monk/chung_nam_su_to_van_te","Chung Nam Sư Tổ Vân Tế"
"ex:monk/chung_son_dao_long","Chung Sơn Ðạo Long"
"ex:monk/chung_son_dam_thoi","Chung Sơn Đàm Thôi"
"ex:monk/chanh_nhac_bon_sieu","Chánh Nhạc Bổn Siêu"
"ex:monk/chanh_phap_hy_ninh","Chánh Pháp Hy Ninh"
"ex:monk/chanh_phap_kien","Chánh Pháp Kiến"
"ex:monk/chanh_truyen_huyen_huu","Chánh Truyền Huyễn Hữu"
"ex:monk/chan_nhu_gioi_huong","Chân Như Giới Hương"
"ex:monk/chan_dao_bich_phong","Chân Đạo Bích Phong"
"ex:monk/chuc_tho_quang_thien","Chúc Thọ Quảng Thiện"
"ex:monk/chon_an_chanh_liem","Chơn An Chánh Liêm"
"ex:monk/chon_bich_tri_huy","Chơn Bích Trí Huy"
"ex:monk/chon_bon_phuoc_khanh","Chơn Bổn Phước Khánh"
"ex:monk/chon_chanh_phap_tang","Chơn Chánh Pháp Tạng"
"ex:monk/chon_chau_van_thanh","Chơn Châu Vạn Thành"
"ex:monk/chon_chat_quang_long","Chơn Chất Quang Long"
"ex:monk/chon_chung_thien_qua","Chơn Chứng Thiện Quả"
"ex:monk/chon_cong_vien_giac","Chơn Công Viên Giác"
"ex:monk/chon_canh_hue_duyet","Chơn Cảnh Huệ Duyệt"
"ex:monk/chon_canh_tri_thang","Chơn Cảnh Trí Thắng"
"ex:monk/chon_dung_pho_nhuan","Chơn Dung Phổ Nhuận"
"ex:monk/chon_giac_long_hai","Chơn Giác Long Hải"
"ex:monk/chon_giam_tri_hai","Chơn Giám Trí Hải"
"ex:monk/chon_hue_pho_tri","Chơn Huệ Phổ Trí"
"ex:monk/chon_huong_chi_bao","Chơn Hương Chí Bảo"
"ex:monk/chon_huong_thien_quang","Chơn Hương Thiên Quang"
"ex:monk/chon_khai_pho_hy","Chơn Khai Phổ Hy"
"ex:monk/chon_kim_phap_lam","Chơn Kim Pháp Lâm"
"ex:monk/chon_kinh_phap_huong","Chơn Kinh Pháp Hương"
"ex:monk/chon_kiet_pho_hoa","Chơn Kiết Phổ Hóa"
"ex:monk/chon_luan_phuoc_hue","Chơn Luận Phước Huệ"
"ex:monk/chon_mien_tri_hung","Chơn Miên Trí Hưng"
"ex:monk/chon_man_khanh_phu","Chơn Mẫn Khánh Phú"
"ex:monk/chon_ngoc_long_tri","Chơn Ngọc Long Trí"
"ex:monk/chon_nha_hoang_nghia","Chơn Nhã Hoằng Nghĩa"
