Tên,Lineage,Issues,URI
"Thánh Thiên","DUPLICATE","2 monks",
"Động Đình Tuệ Nguyệt","DUPLICATE","2 monks",
"Lang Sơn Tuệ Ôn","DUPLICATE","2 monks",
"Long Hoa Cao","DUPLICATE","2 monks",
"Cư Sĩ Thái Sử Hoàng Ðình Kiên","DUPLICATE","2 monks",
"Cư Sĩ Mạc Tướng Thượng Thư Thiếu Hư","DUPLICATE","2 monks",
"Mã Tổ Đạo Nhất","DUPLICATE","2 monks",
"Thiền sư","DUPLICATE","26 monks",
"Hoàng Bá Hy Vận","DUPLICATE","2 monks",
"Nan Sanh","DUPLICATE","2 monks",
"Mã Minh","DUPLICATE","2 monks",
"Chơn Phước Phổ Đồng","DUPLICATE","2 monks",
"Ấn Chiếu Đương Niệm","DUPLICATE","2 monks",
"Thích Đương Dung","DUPLICATE","2 monks",
"Chơn Thật Chí Bảo","DUPLICATE","2 monks",
"Chơn Ðiền Ðạo Phước","DUPLICATE","2 monks",
"Ấn Triêm Từ Minh","DUPLICATE","2 monks",
"Thích Ấn Lực","DUPLICATE","2 monks",
"Như Ðiền Huệ Chấn","DUPLICATE","2 monks",
"Như Thông Tôn Nguyên","DUPLICATE","2 monks",
"Tâm Thanh Chơn Nghiêm","DUPLICATE","3 monks",
"Như Tín Giác Chánh","DUPLICATE","2 monks",
"Như Cẩm Giác Chơn","DUPLICATE","2 monks",
"Am Chủ Đồng Phong","DUPLICATE","2 monks",
"Bồ Đề Quang Dụng","DUPLICATE","2 monks",
"Dược Sơn Duy Nghiễm","DUPLICATE","2 monks",
"Toàn Ðịnh Bảo Tạng","DUPLICATE","2 monks",
"Đại Ninh Ðạo Khoan","DUPLICATE","2 monks",
"Long Nha Tông Mật","DUPLICATE","2 monks",
"Đạo Giả Giang Châu Song Khê Điền","DUPLICATE","2 monks",
"Đàm Châu Trung Vân Cái","DUPLICATE","4 monks",
"Vân Môn Hải Yến","DUPLICATE","2 monks",
"Giác A","DUPLICATE","2 monks",
"Trường Linh Thủ Trác","DUPLICATE","3 monks",
"Long Hoa Bản","DUPLICATE","2 monks",
"Am Chủ Tích Thúy Vĩnh","DUPLICATE","2 monks",
"Đầu Tử Đại Đồng","DUPLICATE","2 monks",
"Hoàng Long Ðức Phùng","DUPLICATE","2 monks",
"Bách Trượng Hoài Hải","DUPLICATE","3 monks",
"Bổn Khê","DUPLICATE","2 monks",
"Ngũ Đài Ẩn Phong","DUPLICATE","2 monks",
"Ma Ha Ca Diếp","DUPLICATE","3 monks",
"Tôn Giả A Nan","DUPLICATE","2 monks",
"Dục Vương Ðoan Dụ","DUPLICATE","2 monks",
"Diên Phúc Tuệ Thăng","DUPLICATE","3 monks",
"Tịnh Từ Sư Nhất","DUPLICATE","2 monks",
"Thái Bình Huệ Cần Phật Giám","DUPLICATE","2 monks",
"Thiền Sư","DUPLICATE","3 monks",
"Đàm Loan","DUPLICATE","2 monks",
"Dục Vương Đại Quan","DUPLICATE","2 monks",
"Thái Tử Ðạo Nhất","DUPLICATE","2 monks",
"Thương Na Hòa Tu","DUPLICATE","3 monks",
"Mạt Điền Để Ca","DUPLICATE","3 monks",
"Bảo Ninh Nhân Dũng","DUPLICATE","2 monks",
"Bà Xá Tư Đa","DUPLICATE","2 monks",
"Tôn Giả Hạc Lặc Na","DUPLICATE","2 monks",
"Kim Lăng Pháp Trì","DUPLICATE","2 monks",
"Tuệ An Tuệ Uyên","DUPLICATE","2 monks",
"Thiệt Uyên Chí Bảo","DUPLICATE","2 monks",
"Toàn Trí Long Thọ","DUPLICATE","2 monks",
