Tên Thiền Sư,Ngày Loại,Note
Trừng kín trao,2026-03-21,Verb phrase - ko hợp lệ
Đại Tuệ nghe,2026-03-21,Verb phrase - ko hợp lệ
Đạt Quán trông,2026-03-21,Verb phrase - ko hợp lệ
Phật Trí qua,2026-03-21,Verb phrase - ko hợp lệ
Tuệ Nam trao,2026-03-21,Verb phrase - ko hợp lệ
Mân chuyển trao,2026-03-21,Verb phrase - ko hợp lệ
Tâm chăng,2026-03-21,Incomplete name
Nguyệt dùng tinh,2026-03-21,Verb phrase - ko hợp lệ
Trí Thường quê,2026-03-21,Verb phrase - ko hợp lệ
Viên Ngộ tha,2026-03-21,Verb phrase - ko hợp lệ
Viên Ngộ Đêm,2026-03-21,Verb phrase - ko hợp lệ
Viên Ngộ nghe,2026-03-21,Verb phrase - ko hợp lệ
Viên Ngộ nghiêng,2026-03-21,Verb phrase - ko hợp lệ
Hoài Lương Sơn,2026-03-21,Cần kiểm tra lại
Tuệ Viễn nghiêm,2026-03-21,Verb phrase - ko hợp lệ
Viên Ngộ tiên,2026-03-21,Verb phrase - ko hợp lệ
Đại Dương trao,2026-03-21,Verb phrase - ko hợp lệ
Diễn Chơn Như,2026-03-21,Cần kiểm tra lại
Khánh Nhàn sao,2026-03-21,Verb phrase - ko hợp lệ
Phước Chỉ viên,2026-03-21,Verb phrase - ko hợp lệ
Tuệ Nam trông,2026-03-21,Verb phrase - ko hợp lệ
Minh Hải sinh,2026-03-21,Verb phrase - ko hợp lệ
