Tên Thiền Sư Mới,Số Lần Xuất Hiện,Trích Từ (file TTL),Trích Đoạn Bio
Như Sơn,2,tu-son-hanh-nhat,Tìm Hiểu Về Thiền Sư Như Sơn Thích Đồng Dưỡng Tập Kế đăng
Đại Tuệ trông,1,thien-dong-dam-hoa,"ỉ dạy của Sư đến đó. Thiền sư Đại Tuệ trông thấy, hết lời tán thán, lại d"
Phật Đăng,1,phan-luong-quy,"Sau đó, nương tựa Thiền sư Phật Đăng (Tuân) qua thời gian lâu mà k"
Chí Thiêm,1,khai-nguyen-chi-khiem,"Thiền sư Chí Thiêm ở Khai Nguyên  Thiền sư Chí"
Tuệ Nam sang,1,lac-dam-khac-van,"mừng đó.  Đến lúc Thiền sư Tuệ Nam sang Hoàng Long, Sư lại đến đó. Th"
Chân Giác Duy,1,lac-dam-khac-van,đến đó. Vừa gặp lúc Thiền sư Chân Giác Duy Thắng làm thủ tòa. Một ngày n
Đại Tuệ khua,1,giao-trung-di-quang,"Sư liền đại ngộ.  Thiền sư Đại Tuệ khua trống báo đại chúng rằng:"
Phật Tâm,1,giao-trung-di-quang,"ư bèn trở về bái yết Thiền sư Phật Tâm.  Gặp Thiền sư Đại Tuệ – Tô"
Đại Tuệ qua,1,giao-trung-di-quang,"có câu không.  Lúc Thiền sư Đại Tuệ qua am Vân Môn, Sư đi theo hầu. M"
Đạo Ngưng,1,hue-huy-tu-dac,"hỏ, Sư đến nương tựa Thiền sư Đạo Ngưng – Trừng Chiếu, xuất gia, thọ"
Giác Minh,1,hue-huy-tu-dac,ân tại phía hữu tháp Thiền sư Giác Minh.
Tuệ Huy,1,hue-huy-tu-dac,Thiền sư Tuệ Huy – Tự Đắc ở Tịnh Từ Thiền sư T
Vĩnh Minh Diên,1,dai-mai-phap-thuong,"1 quyển.  Về sau, Thiền sư Vĩnh Minh Diên Thọ tán thán Đại Mai với bài"
Hoài Huy,1,chuong-kinh-hoai-uan,"Thiền Sư Hoài Huy Pháp tự đời thứ hai của Nam"
Viên Ngộ ngay,1,trung-truc-trung-nhan,"Sư phỏng nghĩ đáp, Thiền sư Viên Ngộ ngay thẳng miệng Sư đánh một cái,"
Tuyết Phong phương,1,tuyet-phong-nghia-ton,thọ 59. Dị bản chép: Thiền sư Tuyết Phong phương tiện khai thị tập thuật mục đ
Tuệ Lăng,1,truong-khanh-hue-lang,"ểu sử tối lược giản: Thiền sư Tuệ Lăng, họ Tôn, người Diêm Quan Hàng"
Mẫn sắp viên,1,van-mon-van-yen,"nh Thọ ở Thiều Châu. Thiền sư Mẫn sắp viên tịch, viết thư cho Quảng chủ,"
Đảnh Nhu,1,tay-thien-danh-nhu,"Thiền sư Đảnh Nhu – Lại Am ở Tây Thiền Thiền s"
Viên Ngộ không,1,chieu-giac-dao-nguyen,"iết mà tỏ bày, nhưng Thiền sư Viên Ngộ không hứa khả.  Khi Thiền sư Viên"
Diễn không thôi,1,thai-binh-hue-can-phat-giam,"đóng cửa ngủ, Sư hận Thiền sư Diễn không thôi.  Thiền sư Viên Ngộ đã kín"
Viên Ngộ trưng,1,thai-binh-hue-can-phat-giam,"lý có thể trình bày, Thiền sư Viên Ngộ trưng bảo:  – Đã gọi là gom không"
Tâm Trung Nhơn,1,te-hien-buu-duong,"g mùa pháp nạn 1963. Thiền sư Tâm Trung Nhơn Thứ, người thắp ngọn đuốc tuệ"
Đại Tuệ không,1,kinh-son-lieu-minh,"Thường trong thất, Thiền sư Đại Tuệ không hứa cho các nạp tử mở miệng h"
Viên Ngộ qua,1,duc-vuong-tuan-phac,đến tham hỏi đạo nơi Thiền sư Viên Ngộ qua vài năm. Sau đó trở về quê hư
Đại Tuệ niêm,1,ngoc-tuyen-dam-y,"ở Ngọc Tuyền, Sư vì Thiền sư Đại Tuệ niêm hương tiếp nối Tỉnh Tuệ ở Tiể"
Uẩn Văn,1,tuyet-phong-uan-van,"Thiền sư Uẩn Văn – Phổ Từ ở Tuyết Phong Thiền"
Đại Tuệ treo,1,tu-tho-dieu-tong,"g Tiếp kinh ngạc.  Thiền sư Đại Tuệ treo bảng, lần lượt Ni sư vào thất"
Tuệ Giác nâng,1,thien-thanh-hao-thai,"chỉ chuộng hưởng.  Thiền sư Tuệ Giác nâng lên mở miệng, nói: – Canh nă"
Phật Tánh trông,1,tuong-nhi-vien-giac,Sư trở về lại tỉnh. Thiền sư Phật Tánh trông thấy Sư bèn gập đầu chấp thuậ
Triệu Châu niêm,1,hoa-tang-an-dan,"ba lần gọi thị giả, Thiền sư Triệu Châu niêm rằng:  Như người viết chữ t"
Phổ Khoan,1,ty-ni-da-luu-chi,"Viên, Diệu Tiên… - Thiền sư Phổ Khoan-Huệ Thạnh, Thích Luyện Tâm."
Chiếu Tuyên,1,ty-ni-da-luu-chi,"Thích Luyện Tâm. - Thiền sư Chiếu Tuyên.  ---o0o---  Kiến Trúc Ch"
Tánh Tuyên sinhnăm,1,ty-ni-da-luu-chi,"a vị Tổ của chùa. - Thiền sư Tánh Tuyên sinhnăm Canh Thìn (1700), tịch vào ng"
Hoa Nghiêm lưu,1,so-son-quang-nhan,ợc luận thuyết của Trưởng lão Hoa Nghiêm lưu truyền trong đời.
Đam Nguyên,1,nguong-son-hue-tich,"Ban đầu, sư đến bái Thiền sư Đam Nguyên, ngộ được huyền chỉ. Đam Ngu"
