ex:monk/a_nan","Tôn Giả A Nan"
"ex:monk/a_tung_thanh","Á Tùng Thánh"
"ex:monk/ai_tri","Ðại Trí"
"ex:monk/am_chu_dong_phong","Am Chủ Đồng Phong"
"ex:monk/am_chu_dong_phong_dong_phong","Đồng Phong"
"ex:monk/am_chu_ho_khe","Am Chủ Hổ Khê"
"ex:monk/am_chu_phuc_bon","Am Chủ Phúc Bồn"
"ex:monk/am_chu_sam_duong","Am Chủ Sam Dương"
"ex:monk/am_chu_sam_duong_am_chu_sam_duong","Am Chủ Sam Dương"
"ex:monk/am_chu_sam_duong_sam_duong_phap_tu","Sam Dương Pháp tự"
"ex:monk/am_chu_sam_duong_thien_su","Thiền Sư"
"ex:monk/am_chu_tu_ngon","Am Chủ Tử Ngôn"
"ex:monk/an_bao_chanh_nhon","Ấn Bảo Chánh Nhơn"
"ex:monk/an_binh_buu_quang","Ấn Bình Bửu Quang"
"ex:monk/an_binh_pho_bao","Ấn Bính Phổ Bảo"
"ex:monk/an_bon_vinh_gia","Ấn Bổn Vĩnh Gia"
"ex:monk/an_chanh_hue_minh","Ấn Chánh Huệ Minh"
"ex:monk/an_chanh_to_nghi","Ấn Chánh Tổ Nghị"
"ex:monk/an_chat_pho_tinh","Ấn Chất Phổ Tịnh"
"ex:monk/an_chau_cuu_tong_son","An Châu Cửu Tông Sơn"
"ex:monk/an_chau_dai_an_tinh","An Châu Đại An Tỉnh"
"ex:monk/an_chau_dien_phuoc","An Châu Diên Phước"
"ex:monk/an_chau_muc","An Châu Mục"
"ex:monk/an_chi_hoang_chinh","Ấn Chí Hoằng Chỉnh"
"ex:monk/an_chieu_duong_niem","Ấn Chiếu Đương Niệm"
"ex:monk/an_cu_hoang_tri","Ấn Cứ Hoằng Tri"
"ex:monk/an_dai_van_hanh","Ấn Đại Vạn Hạnh"
"ex:monk/an_dieu_tu_nhan","Ấn Diệu Từ Nhẫn"
"ex:monk/an_dinh_hue_dang","Ấn Định Huệ Đăng"
"ex:monk/an_doan_hoang_nghia","Ấn Đoan Hoằng Nghĩa"
"ex:monk/an_du_pho_quang","Ấn Du Phổ Quang"
"ex:monk/an_duc_tu_hang","Ấn Đức Từ Hàng"
"ex:monk/an_hoa_pho_hue","Ấn Hoa Phổ Huệ"
"ex:monk/an_hoa_pho_hue","Ấn Hoa Phổ Huệ"
"ex:monk/an_hoa_to_duong","Ấn Hoa Tổ Đường"
"ex:monk/an_hoa_van_nhat","An Hóa Văn Nhất"
"ex:monk/an_hong_to_nhu","Ấn Hồng Tổ Như"
"ex:monk/an_huong_phap_nhan","Ấn Hướng Pháp Nhãn"
"ex:monk/an_kim_hoang_tinh","Ấn Kim Hoằng Tịnh"
"ex:monk/an_lan_tu_tri","Ấn Lan Từ Trí"
